Company,Ticker,Fiscal Year End,Year,Total Revenue,Gross Profit,Operating Income,Net Income,R&D Expenses,EPS (Diluted),Total Assets,Current Assets,Total Liabilities,Current Liabilities,Total Equity,Shares Outstanding,Cash Flow from Operations,Stock Price ($),52-Week High ($),52-Week Low ($),Beta,Gross Margin (%),Operating Margin (%),Net Profit Margin (%),ROA (%),ROE (%),Debt-to-Equity,Current Ratio,YoY Revenue Growth (%),YoY Net Income Growth (%),Market Cap ($M),P/E Ratio,Price-to-Sales
MICROSOFT CORPORATION,MSFT,2021-06-30,2021,168088.0,115856.0,69916.0,61271.0,20716.0,8.05,333779.0,184406.0,191791.0,88657.0,141988.0,7547000000.0,76740.0,260.54,261.27,187.39,1.108,68.93,41.59,36.45,18.36,43.15,1.35,2.08,,,1966295.38,32.37,11.7
"Meta Platforms, Inc.",META,2025-12-31,2025,200966.0,,83276.0,60458.0,57372.0,23.49,366021.0,108722.0,148778.0,41836.0,217243.0,2521000000.0,115800.0,659.53,794.38,478.31,1.279,,41.44,30.08,16.52,27.83,0.68,2.6,22.17,-3.05,1662675.13,28.08,8.27
"Meta Platforms, Inc.",META,2024-12-31,2024,164501.0,,69380.0,62360.0,43873.0,23.86,276054.0,100045.0,93417.0,33596.0,182637.0,2534000000.0,91328.0,583.17,635.34,337.36,1.279,,42.18,37.91,22.59,34.14,0.51,2.98,21.94,59.5,1477752.78,24.44,8.98
"Meta Platforms, Inc.",META,2023-12-31,2023,134902.0,,46751.0,39098.0,38483.0,14.87,229623.0,85365.0,76455.0,31960.0,153168.0,2574000000.0,71113.0,351.2,359.08,121.33,1.279,,34.66,28.98,17.03,25.53,0.5,2.67,15.69,68.53,903988.8,23.62,6.7
"Meta Platforms, Inc.",META,2022-12-31,2022,116609.0,,28944.0,23200.0,35338.0,8.59,185727.0,59549.0,60014.0,27026.0,125713.0,2687000000.0,50475.0,119.4,340.77,87.4,1.279,,24.82,19.9,12.49,18.45,0.48,2.2,-1.12,-41.07,320827.8,13.9,2.75
"Meta Platforms, Inc.",META,2021-12-31,2021,117929.0,,46753.0,39370.0,24655.0,13.77,165987.0,66666.0,41108.0,21135.0,124879.0,2815000000.0,57683.0,333.73,381.34,242.71,1.279,,39.65,33.38,23.72,31.53,0.33,3.15,,,939449.95,24.24,7.97
NETFLIX INC,NFLX,2025-12-31,2025,45183.04,,13326.6,10981.2,3391.39,2.53,55596.99,13020.19,28981.51,10980.93,26615.49,4249512000.0,10149.27,93.76,134.12,82.11,1.714,,29.49,24.3,19.75,41.26,1.09,1.19,15.85,26.05,398434.25,37.06,8.82
NETFLIX INC,NFLX,2024-12-31,2024,39000.97,,10417.61,8711.63,2925.3,1.98,53630.37,13100.38,28886.81,10755.4,24743.57,4295191000.0,7361.36,89.13,94.18,46.19,1.714,,26.71,22.34,16.24,35.21,1.17,1.22,15.65,61.09,382830.37,45.02,9.82
NETFLIX INC,NFLX,2023-12-31,2023,33723.3,,6954.0,5407.99,2675.76,1.2,48731.99,9918.13,28143.68,8860.66,20588.31,4415712000.0,7274.3,48.69,50.09,28.53,1.714,,20.62,16.04,11.1,26.27,1.37,1.12,6.67,20.39,215001.02,40.58,6.38
NETFLIX INC,NFLX,2022-12-31,2022,31615.55,,5632.83,4491.92,2711.04,9.95,48594.77,9266.47,27817.37,7930.97,20777.4,444698000.0,2026.26,29.49,61.41,16.27,1.714,,17.82,14.21,9.24,21.62,1.34,1.17,6.46,-12.2,13114.14,2.96,0.41
NETFLIX INC,NFLX,2021-12-31,2021,29697.84,,6194.51,5116.23,2273.89,11.24,44584.66,8069.82,28735.42,8488.97,15849.25,443155000.0,392.61,60.24,70.1,47.85,1.714,,20.86,17.23,11.48,32.28,1.81,0.95,,,26695.66,5.36,0.9
"Tesla, Inc.",TSLA,2025-12-31,2025,94827.0,17094.0,4355.0,3794.0,6411.0,1.08,137806.0,68642.0,54941.0,31714.0,82137.0,3225000000.0,14747.0,449.72,498.83,214.25,1.926,18.03,4.59,4.0,2.75,4.62,0.67,2.16,-2.93,-46.5,1450347.0,416.41,15.29
"Tesla, Inc.",TSLA,2024-12-31,2024,97690.0,17450.0,7076.0,7091.0,4540.0,2.04,122070.0,58360.0,48390.0,28821.0,72913.0,3197000000.0,14923.0,403.84,488.54,138.8,1.926,17.86,7.24,7.26,5.81,9.73,0.66,2.02,,227.23,1291076.48,197.96,13.22
"Tesla, Inc.",TSLA,2024-09-30,2024,,,,2167.0,,0.62,,,,,,,,261.63,271.0,138.8,1.926,,,,,,,,,46.62,,421.98,
"Tesla, Inc.",TSLA,2024-06-30,2024,,,,1478.0,,0.42,,,,,,,,197.88,299.29,138.8,1.926,,,,,,,,,30.91,,471.14,
"Tesla, Inc.",TSLA,2024-03-31,2024,,,,1129.0,,0.34,,,,,,,,175.79,299.29,152.37,1.926,,,,,,,,,,,517.03,
